Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
464	2	0.327	38	43	33	38	43.5	32.5
463	2	0.327	31	93	31	30.5	92.5	31.5
462	2	0.32	48	58	30	48	58	30.5
461	2	0.327	58	57	30	57.5	57	30
460	2	0.335	31	48	30	30.5	47.5	30.5
459	2	0.331	67	47	29	67	46.5	29
458	2	0.324	61	27	29	61.5	27	29
457	2	0.331	45	76	29	45	75.5	28.5
456	2	0.324	22	46	28	22	45.5	28
455	2	0.335	28	60	27	27.5	60	27
454	2	0.324	64	53	28	64	52.5	27.5
453	2	0.32	48	87	26	48	87	26.5
452	2	0.327	79	61	27	79	61.5	26.5
451	2	0.331	34	18	26	33.5	18.5	26.5
450	2	0.331	47	71	25	46.5	70.5	24.5
449	2	0.324	53	43	24	53.5	43	24
448	2	0.335	44	92	24	44	92	23.5
447	2	0.32	63	51	23	63	50.5	23.5
446	2	0.338	39	54	21	39.5	53.5	21
445	2	0.327	35	31	22	35	31	21.5
444	2	0.335	29	28	21	29	28	21.5
443	2	0.324	35	49	19	35	49	19.5
442	2	0.324	58	20	18	58	19.5	18
441	2	0.331	37	55	17	36.5	55	17
440	2	0.327	44	39	16	44.5	39	16.5
439	2	0.327	19	29	17	19.5	29.5	16.5
438	2	0.342	33	60	16	33	60	15.5
437	2	0.349	29	54	15	29.5	54	15
436	2	0.338	42	47	14	41.5	47	14.5
435	2	0.331	62	27	14	62.5	27.5	14
434	2	0.32	22	68	13	21.5	68.5	13.5
433	2	0.335	58	67	13	58	67	13.5
432	2	0.331	35	27	14	35	27	13.5
431	2	0.324	61	29	12	61.5	28.5	12
430	2	0.324	52	36	11	52.5	36	11
429	2	0.331	46	45	11	46	45	10.5
428	2	0.324	52	24	8	52.5	24	8
427	1	0.32	50	60	74	50	60	74
426	1	0.342	51	57	74	51	57	74
425	1	0.338	55	54	74	55	54	74
424	1	0.32	47	51	74	47	51	74
423	1	0.32	54	47	74	54	47	74
422	1	0.324	52	60	73	52	60	73
421	1	0.324	45	55	73	45	55	73
420	1	0.324	42	50	72	42	50	72
419	1	0.32	33	62	71	33	62	71
418	1	0.32	65	49	71	65	49	71
417	1	0.324	46	38	71	46	38	71
416	1	0.32	38	38	71	38	38	71
415	1	0.32	55	65	70	55	65	70
414	1	0.327	54	35	70	54	35	70
413	1	0.327	47	67	69	47	67	69
412	1	0.32	49	64	69	49	64	69
411	1	0.331	67	49	69	67	49	69
410	1	0.32	44	45	69	44	45	69
409	1	0.327	31	66	68	31	66	68
408	1	0.327	65	61	68	65	61	68
407	1	0.324	50	43	68	50	43	68
406	1	0.327	70	55	67	70	55	67
405	1	0.324	44	32	67	44	32	67
404	1	0.324	27	71	66	27	71	66
403	1	0.324	35	69	66	35	69	66
402	1	0.32	25	68	66	25	68	66
401	1	0.324	24	66	66	24	66	66
400	1	0.32	29	64	66	29	64	66
399	1	0.32	19	51	66	19	51	66
398	1	0.327	53	76	65	53	76	65
397	1	0.327	37	76	65	37	76	65
396	1	0.338	67	67	65	67	67	65
395	1	0.327	50	51	65	50	51	65
394	1	0.331	29	43	65	29	43	65
393	1	0.327	19	42	65	19	42	65
392	1	0.32	35	27	65	35	27	65
391	1	0.327	29	77	64	29	77	64
390	1	0.324	48	76	64	48	76	64
389	1	0.32	54	74	64	54	74	64
388	1	0.32	40	71	64	40	71	64
387	1	0.331	34	68	64	34	68	64
386	1	0.331	72	57	64	72	57	64
385	1	0.331	61	55	64	61	55	64
384	1	0.335	43	51	64	43	51	64
383	1	0.327	16	43	64	16	43	64
382	1	0.345	18	40	64	18	40	64
381	1	0.324	27	37	64	27	37	64
380	1	0.32	41	24	64	41	24	64
379	1	0.331	21	69	63	21	69	63
378	1	0.335	40	67	63	40	67	63
377	1	0.327	39	64	63	39	64	63
376	1	0.331	67	57	63	67	57	63
375	1	0.324	45	53	63	45	53	63
374	1	0.32	24	44	63	24	44	63
373	1	0.331	74	39	63	74	39	63
372	1	0.32	23	30	63	23	30	63
371	1	0.32	29	74	62	29	74	62
370	1	0.32	28	64	62	28	64	62
369	1	0.335	71	55	62	71	55	62
368	1	0.32	18	39	62	18	39	62
367	1	0.327	27	32	62	27	32	62
366	1	0.324	33	65	61	33	65	61
365	1	0.335	57	59	61	57	59	61
364	1	0.324	27	49	61	27	49	61
363	1	0.324	55	77	60	55	77	60
